#           k/h    P           
 0.14714794E+01 0.29570942E+02
 0.15846164E+01 0.24784901E+02
 0.17064521E+01 0.20753685E+02
 0.18376554E+01 0.17361944E+02
 0.19789464E+01 0.14511576E+02
 0.21311009E+01 0.12118559E+02
 0.22949538E+01 0.10111670E+02
 0.24714050E+01 0.84302664E+01
 0.26614230E+01 0.70228953E+01
 0.28660505E+01 0.58460083E+01
 0.30864115E+01 0.48627386E+01
 0.33237150E+01 0.40419421E+01
 0.35792639E+01 0.33573446E+01
 0.38544614E+01 0.27868197E+01
 0.41508179E+01 0.23117290E+01
 0.44699597E+01 0.19164075E+01
 0.48136396E+01 0.15877050E+01
 0.51837440E+01 0.13145941E+01
 0.55823045E+01 0.10878270E+01
 0.60115085E+01 0.89966512E+00
 0.64737129E+01 0.74364030E+00
 0.69714546E+01 0.61434478E+00
 0.75074658E+01 0.50726408E+00
 0.80846891E+01 0.41863540E+00
 0.87062931E+01 0.34532097E+00
 0.93756895E+01 0.28470847E+00
 0.10096555E+02 0.23462515E+00
 0.10872844E+02 0.19326334E+00
 0.11708819E+02 0.15912226E+00
 0.12609071E+02 0.13095538E+00
 0.13578539E+02 0.10772859E+00
 0.14622546E+02 0.88584699E-01
 0.15746824E+02 0.72813146E-01
 0.16957542E+02 0.59825845E-01
 0.18261351E+02 0.49135894E-01
 0.19665403E+02 0.40340714E-01
 0.21177408E+02 0.33107478E-01
 0.22805666E+02 0.27161211E-01
 0.24559116E+02 0.22274906E-01
 0.26447382E+02 0.18261150E-01
 0.28480831E+02 0.14965390E-01
 0.30670626E+02 0.12260204E-01
 0.33028786E+02 0.10040565E-01
 0.35568253E+02 0.82199732E-02
 0.38302975E+02 0.67272163E-02
 0.41247959E+02 0.55036787E-02
 0.44419373E+02 0.45011439E-02
 0.47834625E+02 0.36799659E-02
 0.51512466E+02 0.30075589E-02
 0.55473083E+02 0.24571496E-02
 0.59738220E+02 0.20067480E-02
 0.64331284E+02 0.16383007E-02
 0.69277496E+02 0.13369911E-02
 0.74604012E+02 0.10906640E-02
 0.80340057E+02 0.88935043E-03
 0.86517128E+02 0.72487758E-03
 0.93169128E+02 0.59054774E-03
 0.10033259E+03 0.48087322E-03
