#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.819879E-02   0.158978E+08   0.158909E+08   0.391578E+03   0.904149E+04   0.000000E+00   0.158968E+08   0.158968E+08   0.158903E+08  -0.375702E+00   0.824014E+07   0.824008E+07   0.258106E+01
   0.829040E-02   0.158568E+08   0.158498E+08   0.110769E+04   0.920433E+04   0.000000E+00   0.158557E+08   0.158557E+08   0.158495E+08  -0.374731E+00   0.821888E+07   0.821882E+07   0.260107E+01
   0.838303E-02   0.158154E+08   0.158083E+08   0.154255E+04   0.911287E+04   0.000000E+00   0.158143E+08   0.158143E+08   0.158082E+08  -0.373751E+00   0.819743E+07   0.819737E+07   0.262117E+01
   0.847669E-02   0.157737E+08   0.157664E+08   0.144834E+04   0.869042E+04   0.000000E+00   0.157726E+08   0.157726E+08   0.157666E+08  -0.372762E+00   0.817579E+07   0.817572E+07   0.264137E+01
   0.857140E-02   0.157316E+08   0.157241E+08   0.960123E+03   0.810569E+04   0.000000E+00   0.157304E+08   0.157304E+08   0.157246E+08  -0.371765E+00   0.815395E+07   0.815388E+07   0.266165E+01
   0.866717E-02   0.156891E+08   0.156815E+08   0.506726E+03   0.765065E+04   0.000000E+00   0.156879E+08   0.156879E+08   0.156822E+08  -0.370759E+00   0.813192E+07   0.813185E+07   0.268202E+01
   0.876401E-02   0.156462E+08   0.156384E+08   0.495691E+03   0.751976E+04   0.000000E+00   0.156450E+08   0.156450E+08   0.156395E+08  -0.369744E+00   0.810969E+07   0.810962E+07   0.270248E+01
   0.886193E-02   0.156030E+08   0.155950E+08   0.991873E+03   0.765695E+04   0.000000E+00   0.156017E+08   0.156017E+08   0.155963E+08  -0.368720E+00   0.808727E+07   0.808720E+07   0.272303E+01
   0.896095E-02   0.155593E+08   0.155512E+08   0.163874E+04   0.779651E+04   0.000000E+00   0.155581E+08   0.155581E+08   0.155528E+08  -0.367687E+00   0.806465E+07   0.806457E+07   0.274365E+01
   0.906107E-02   0.155153E+08   0.155071E+08   0.190710E+04   0.767576E+04   0.000000E+00   0.155140E+08   0.155140E+08   0.155089E+08  -0.366645E+00   0.804183E+07   0.804175E+07   0.276436E+01
   0.916231E-02   0.154709E+08   0.154625E+08   0.150276E+04   0.725259E+04   0.000000E+00   0.154696E+08   0.154696E+08   0.154646E+08  -0.365595E+00   0.801881E+07   0.801873E+07   0.278514E+01
   0.926468E-02   0.154262E+08   0.154176E+08   0.618376E+03   0.674392E+04   0.000000E+00   0.154248E+08   0.154248E+08   0.154199E+08  -0.364534E+00   0.799559E+07   0.799551E+07   0.280600E+01
   0.936819E-02   0.153810E+08   0.153722E+08  -0.187476E+03   0.644180E+04   0.000000E+00   0.153796E+08   0.153796E+08   0.153749E+08  -0.363465E+00   0.797217E+07   0.797209E+07   0.282693E+01
   0.947286E-02   0.153354E+08   0.153265E+08  -0.410210E+03   0.645715E+04   0.000000E+00   0.153340E+08   0.153340E+08   0.153294E+08  -0.362387E+00   0.794854E+07   0.794846E+07   0.284793E+01
